State,County,CD #,"CD Pop. in County","% of County in CD"
GA,Schley,2,"5,010",100.00%
GA,Screven,12,"14,593",100.00%
GA,Seminole,2,"8,729",100.00%
GA,Spalding,3,"64,073",100.00%
GA,Stephens,9,"26,175",100.00%
GA,Stewart,2,"6,058",100.00%
GA,Sumter,2,"32,819",100.00%
GA,Talbot,2,"6,865",100.00%
GA,Taliaferro,10,"1,717",100.00%
GA,Tattnall,12,"25,520",100.00%
GA,Taylor,2,"8,906",100.00%
GA,Telfair,8,"16,500",100.00%
GA,Terrell,2,"9,315",100.00%
GA,Thomas,8,"44,720",100.00%
GA,Tift,8,"40,118",100.00%
GA,Toombs,12,"27,223",100.00%
GA,Towns,9,"10,471",100.00%
GA,Treutlen,12,"6,885",100.00%
GA,Troup,3,"67,044",100.00%
GA,Turner,8,"8,930",100.00%
GA,Twiggs,8,"9,023",100.00%
GA,Union,9,"21,356",100.00%
GA,Upson,3,"27,153",100.00%
GA,Walker,14,"68,756",100.00%
GA,Walton,10,"83,768",100.00%
GA,Ware,1,"36,312",100.00%
GA,Warren,10,"5,834",100.00%
GA,Washington,10,"21,187",100.00%
GA,Wayne,1,"30,099",100.00%
GA,Webster,2,"2,799",100.00%
GA,Wheeler,12,"7,421",100.00%
GA,White,9,"27,144",100.00%
GA,Whitfield,14,"102,599",100.00%
GA,Wilcox,8,"9,255",100.00%
GA,Wilkes,10,"10,593",100.00%
GA,Wilkinson,8,"9,563",100.00%
GA,Worth,8,"21,679",100.00%
HI,Hawaii,2,"185,079",100.00%
HI,Honolulu,1,"680,496",71.40%
HI,Honolulu,2,"272,711",28.60%
HI,Kalawao,2,90,100.00%
HI,Kauai,2,"67,091",100.00%
HI,Maui,2,"154,834",100.00%
IA,Adair,3,"7,682",100.00%
IA,Adams,3,"4,029",100.00%
IA,Allamakee,1,"14,330",100.00%
IA,Appanoose,2,"12,887",100.00%
IA,Audubon,4,"6,119",100.00%
IA,Benton,1,"26,076",100.00%
IA,Black Hawk,1,"131,090",100.00%
IA,Boone,4,"26,306",100.00%
IA,Bremer,1,"24,276",100.00%
IA,Buchanan,1,"20,958",100.00%
IA,Buena Vista,4,"20,260",100.00%
IA,Butler,4,"14,867",100.00%
IA,Calhoun,4,"9,670",100.00%
IA,Carroll,4,"20,816",100.00%
IA,Cass,3,"13,956",100.00%
IA,Cedar,2,"18,499",100.00%
IA,Cerro Gordo,4,"44,151",100.00%
IA,Cherokee,4,"12,072",100.00%
IA,Chickasaw,4,"12,439",100.00%
IA,Clarke,2,"9,286",100.00%
IA,Clay,4,"16,667",100.00%
IA,Clayton,1,"18,129",100.00%
IA,Clinton,2,"49,116",100.00%
IA,Crawford,4,"17,096",100.00%
IA,Dallas,3,"66,135",100.00%
IA,Davis,2,"8,753",100.00%
IA,Decatur,2,"8,457",100.00%
IA,Delaware,1,"17,764",100.00%
IA,Des Moines,2,"40,325",100.00%
IA,Dickinson,4,"16,667",100.00%
IA,Dubuque,1,"93,653",100.00%
IA,Emmet,4,"10,302",100.00%
IA,Fayette,1,"20,880",100.00%
IA,Floyd,4,"16,303",100.00%
IA,Franklin,4,"10,680",100.00%
IA,Fremont,3,"7,441",100.00%
IA,Greene,4,"9,336",100.00%
IA,Grundy,4,"12,453",100.00%
IA,Guthrie,3,"10,954",100.00%
IA,Hamilton,4,"15,673",100.00%
IA,Hancock,4,"11,341",100.00%
IA,Hardin,4,"17,534",100.00%
IA,Harrison,4,"14,928",100.00%
IA,Henry,2,"20,145",100.00%
IA,Howard,1,"9,566",100.00%
IA,Humboldt,4,"9,815",100.00%
IA,Ida,4,"7,089",100.00%
IA,Iowa,1,"16,355",100.00%
IA,Jackson,1,"19,848",100.00%
IA,Jasper,2,"36,842",100.00%
IA,Jefferson,2,"16,843",100.00%
IA,Johnson,2,"130,882",100.00%
IA,Jones,1,"20,638",100.00%
IA,Keokuk,2,"10,511",100.00%
IA,Kossuth,4,"15,543",100.00%
IA,Lee,2,"35,862",100.00%
IA,Linn,1,"211,226",100.00%
IA,Louisa,2,"11,387",100.00%
IA,Lucas,2,"8,898",100.00%
IA,Lyon,4,"11,581",100.00%
IA,Madison,3,"15,679",100.00%
IA,Mahaska,2,"22,381",100.00%
IA,Marion,2,"33,309",100.00%
IA,Marshall,1,"40,648",100.00%
IA,Mills,3,"15,059",100.00%
IA,Mitchell,1,"10,776",100.00%
IA,Monona,4,"9,243",100.00%
IA,Monroe,2,"7,970",100.00%
IA,Montgomery,3,"10,740",100.00%
IA,Muscatine,2,"42,745",100.00%
IA,OBrien,4,"14,398",100.00%
IA,Osceola,4,"6,462",100.00%
IA,Page,3,"15,932",100.00%
IA,Palo Alto,4,"9,421",100.00%
IA,Plymouth,4,"24,986",100.00%
IA,Pocahontas,4,"7,310",100.00%
IA,Polk,3,"430,640",100.00%
IA,Pottawattamie,3,"93,158",100.00%
IA,Poweshiek,1,"18,914",100.00%
IA,Ringgold,3,"5,131",100.00%
IA,Sac,4,"10,350",100.00%
IA,Scott,2,"165,224",100.00%
IA,Shelby,4,"12,167",100.00%
IA,Sioux,4,"33,704",100.00%
IA,Story,4,"89,542",100.00%
IA,Tama,1,"17,767",100.00%
IA,Taylor,3,"6,317",100.00%
IA,Union,3,"12,534",100.00%
IA,Van Buren,2,"7,570",100.00%
IA,Wapello,2,"35,625",100.00%
IA,Warren,3,"46,225",100.00%
IA,Washington,2,"21,704",100.00%
IA,Wayne,2,"6,403",100.00%
IA,Webster,4,"38,013",100.00%
IA,Winnebago,4,"10,866",100.00%
IA,Winneshiek,1,"21,056",100.00%
IA,Woodbury,4,"102,172",100.00%
IA,Worth,1,"7,598",100.00%
IA,Wright,4,"13,229",100.00%
ID,Ada,1,"195,528",49.80%
ID,Ada,2,"196,837",50.20%
ID,Adams,1,"3,976",100.00%
ID,Bannock,2,"82,839",100.00%
ID,Bear Lake,2,"5,986",100.00%
ID,Benewah,1,"9,285",100.00%
ID,Bingham,2,"45,607",100.00%
ID,Blaine,2,"21,376",100.00%
ID,Boise,1,"7,028",100.00%
ID,Bonner,1,"40,877",100.00%
ID,Bonneville,2,"104,234",100.00%
ID,Boundary,1,"10,972",100.00%
ID,Butte,2,"2,891",100.00%
ID,Camas,2,"1,117",100.00%
ID,Canyon,1,"188,923",100.00%
ID,Caribou,2,"6,963",100.00%
ID,Cassia,2,"22,952",100.00%
ID,Clark,2,982,100.00%
ID,Clearwater,1,"8,761",100.00%
ID,Custer,2,"4,368",100.00%
ID,Elmore,2,"27,038",100.00%
ID,Franklin,2,"12,786",100.00%
ID,Fremont,2,"13,242",100.00%
ID,Gem,1,"16,719",100.00%
ID,Gooding,2,"15,464",100.00%
ID,Idaho,1,"16,267",100.00%
ID,Jefferson,2,"26,140",100.00%
ID,Jerome,2,"22,374",100.00%
ID,Kootenai,1,"138,494",100.00%
ID,Latah,1,"37,244",100.00%
ID,Lemhi,2,"7,936",100.00%
ID,Lewis,1,"3,821",100.00%
ID,Lincoln,2,"5,208",100.00%
ID,Madison,2,"37,536",100.00%
ID,Minidoka,2,"20,069",100.00%
ID,Nez Perce,1,"39,265",100.00%
ID,Oneida,2,"4,286",100.00%
ID,Owyhee,1,"11,526",100.00%
ID,Payette,1,"22,623",100.00%
ID,Power,2,"7,817",100.00%
ID,Shoshone,1,"12,765",100.00%
ID,Teton,2,"10,170",100.00%
ID,Twin Falls,2,"77,230",100.00%
ID,Valley,1,"9,862",100.00%
ID,Washington,1,"10,198",100.00%
IL,Adams,18,"67,103",100.00%
IL,Alexander,12,"8,238",100.00%
IL,Bond,13,"4,313",24.30%
IL,Bond,15,"13,455",75.70%
IL,Boone,16,"54,165",100.00%
IL,Brown,18,"6,937",100.00%
IL,Bureau,16,"34,978",100.00%
IL,Calhoun,13,"5,089",100.00%
IL,Carroll,17,"15,387",100.00%
IL,Cass,18,"13,642",100.00%
IL,Champaign,13,"150,996",75.10%
IL,Champaign,15,"50,085",24.90%
IL,Christian,13,"34,800",100.00%
IL,Clark,15,"16,335",100.00%
IL,Clay,15,"13,815",100.00%
IL,Clinton,15,"37,762",100.00%
IL,Coles,15,"53,873",100.00%
IL,Cook,1,"616,830",11.90%
IL,Cook,2,"546,565",10.50%
IL,Cook,3,"618,194",11.90%
IL,Cook,4,"712,813",13.70%
IL,Cook,5,"651,162",12.50%
IL,Cook,6,"92,373",1.80%
IL,Cook,7,"712,812",13.70%
IL,Cook,8,"360,056",6.90%
IL,Cook,9,"712,856",13.70%
IL,Cook,10,"167,002",3.20%
IL,Cook,11,"4,012",0.10%
IL,Crawford,15,"19,817",100.00%
IL,Cumberland,15,"11,048",100.00%
IL,DeKalb,14,"36,986",35.20%
IL,DeKalb,16,"68,174",64.80%
IL,De Witt,13,"16,561",100.00%
IL,Douglas,15,"19,980",100.00%
IL,DuPage,3,"1,300",0.10%
IL,DuPage,5,"61,651",6.70%
IL,DuPage,6,"363,408",39.60%
IL,DuPage,8,"259,111",28.30%
IL,DuPage,11,"210,774",23.00%
IL,DuPage,14,"20,680",2.30%
IL,Edgar,15,"18,576",100.00%
IL,Edwards,15,"6,721",100.00%
IL,Effingham,15,"34,242",100.00%
IL,Fayette,15,"22,140",100.00%
IL,Ford,15,"6,357",45.10%
IL,Ford,16,"7,724",54.90%
IL,Franklin,12,"39,561",100.00%
IL,Fulton,17,"37,069",100.00%
IL,Gallatin,15,"5,589",100.00%
IL,Greene,13,"13,886",100.00%
IL,Grundy,16,"50,063",100.00%
IL,Hamilton,15,"8,457",100.00%
IL,Hancock,18,"19,104",100.00%
IL,Hardin,15,"4,320",100.00%
IL,Henderson,17,"7,331",100.00%
IL,Henry,17,"50,486",100.00%
IL,Iroquois,16,"29,718",100.00%
IL,Jackson,12,"60,218",100.00%
IL,Jasper,15,"9,698",100.00%
IL,Jefferson,12,"38,827",100.00%
IL,Jersey,13,"22,985",100.00%
IL,Jo Daviess,17,"22,678",100.00%
IL,Johnson,15,"12,582",100.00%
IL,Kane,6,"109,171",21.20%
IL,Kane,8,"93,602",18.20%
IL,Kane,11,"146,149",28.40%
IL,Kane,14,"166,347",32.30%
IL,Kankakee,2,"113,449",100.00%
IL,Kendall,11,"38,142",33.20%
IL,Kendall,14,"76,594",66.80%
IL,Knox,17,"52,919",100.00%
IL,Lake,6,"59,480",8.50%
IL,Lake,10,"545,811",77.60%
IL,Lake,14,"98,171",14.00%
IL,La Salle,16,"113,924",100.00%
IL,Lawrence,15,"16,833",100.00%
IL,Lee,16,"36,031",100.00%
IL,Livingston,16,"38,950",100.00%
IL,Logan,18,"30,305",100.00%
IL,McDonough,18,"32,612",100.00%
IL,McHenry,6,"88,389",28.60%
IL,McHenry,14,"220,371",71.40%
IL,McLean,13,"60,677",35.80%
IL,McLean,18,"108,895",64.20%
IL,Macon,13,"110,768",100.00%
IL,Macoupin,13,"47,765",100.00%
IL,Madison,12,"116,804",43.40%
IL,Madison,13,"98,754",36.70%
IL,Madison,15,"53,724",20.00%
IL,Marion,15,"39,437",100.00%
IL,Marshall,18,"12,640",100.00%
IL,Mason,18,"14,666",100.00%
IL,Massac,15,"15,429",100.00%
IL,Menard,18,"12,705",100.00%
IL,Mercer,17,"16,434",100.00%
IL,Monroe,12,"32,957",100.00%
IL,Montgomery,13,"30,104",100.00%
IL,Morgan,18,"35,547",100.00%
IL,Moultrie,15,"14,846",100.00%
IL,Ogle,16,"53,497",100.00%
IL,Peoria,17,"84,935",45.50%
IL,Peoria,18,"101,559",54.50%
IL,Perry,12,"22,350",100.00%
IL,Piatt,13,"16,729",100.00%
IL,Pike,18,"16,430",100.00%
IL,Pope,15,"4,470",100.00%
IL,Pulaski,12,"6,161",100.00%
IL,Putnam,16,"6,006",100.00%
IL,Randolph,12,"33,476",100.00%
IL,Richland,15,"16,233",100.00%
IL,Rock Island,17,"147,546",100.00%
IL,St. Clair,12,"270,056",100.00%
IL,Saline,15,"24,913",100.00%
IL,Sangamon,13,"99,386",50.30%
IL,Sangamon,18,"98,079",49.70%
IL,Schuyler,18,"7,544",100.00%
IL,Scott,18,"5,355",100.00%
IL,Shelby,15,"22,363",100.00%
IL,Stark,16,"1,353",22.60%
IL,Stark,18,"4,641",77.40%
IL,Stephenson,17,"47,711",100.00%
IL,Tazewell,17,"49,009",36.20%
IL,Tazewell,18,"86,385",63.80%
IL,Union,12,"17,808",100.00%
IL,Vermilion,15,"81,625",100.00%
IL,Wabash,15,"11,947",100.00%
IL,Warren,17,"17,707",100.00%
IL,Washington,15,"14,716",100.00%
IL,Wayne,15,"16,760",100.00%
IL,White,15,"14,665",100.00%
IL,Whiteside,17,"58,498",100.00%
IL,Will,1,"95,983",14.20%
IL,Will,2,"52,799",7.80%
IL,Will,3,"93,319",13.80%
IL,Will,11,"313,693",46.30%
IL,Will,14,"93,699",13.80%
IL,Will,16,"28,067",4.10%
IL,Williamson,12,"66,357",100.00%
IL,Winnebago,16,"190,163",64.40%
IL,Winnebago,17,"105,103",35.60%
IL,Woodford,18,"38,664",100.00%
IN,Adams,3,"34,387",100.00%
IN,Allen,3,"355,329",100.00%
IN,Bartholomew,6,"76,794",100.00%
IN,Benton,4,"8,854",100.00%
IN,Blackford,3,"3,069",24.00%
IN,Blackford,5,"9,697",76.00%
IN,Boone,4,"31,073",54.90%
IN,Boone,5,"25,567",45.10%
IN,Brown,9,"15,242",100.00%
IN,Carroll,4,"20,155",100.00%
IN,Cass,4,"38,966",100.00%
IN,Clark,9,"110,232",100.00%
IN,Clay,8,"26,890",100.00%
IN,Clinton,4,"33,224",100.00%
IN,Crawford,8,"1,667",15.60%
IN,Crawford,9,"9,046",84.40%
IN,Daviess,8,"31,648",100.00%
IN,Dearborn,6,"50,047",100.00%
IN,Decatur,6,"25,740",100.00%
IN,De Kalb,3,"42,223",100.00%
IN,Delaware,6,"117,671",100.00%
IN,Dubois,8,"41,889",100.00%
IN,Elkhart,2,"197,559",100.00%
IN,Fayette,6,"24,277",100.00%
IN,Floyd,9,"74,578",100.00%
IN,Fountain,4,"17,240",100.00%
IN,Franklin,6,"23,087",100.00%
IN,Fulton,2,"20,836",100.00%
IN,Gibson,8,"33,503",100.00%
IN,Grant,5,"70,061",100.00%
IN,Greene,8,"33,165",100.00%
IN,Hamilton,5,"274,569",100.00%
IN,Hancock,6,"70,002",100.00%
IN,Harrison,9,"39,364",100.00%
IN,Hendricks,4,"145,448",100.00%
IN,Henry,6,"49,462",100.00%
IN,Howard,4,"72,765",87.90%
IN,Howard,5,"9,987",12.10%
IN,Huntington,3,"37,124",100.00%
IN,Jackson,9,"42,376",100.00%
IN,Jasper,4,"33,478",100.00%
IN,Jay,3,"21,253",100.00%
IN,Jefferson,6,"32,428",100.00%
IN,Jennings,6,"28,525",100.00%
IN,Johnson,9,"139,654",100.00%
IN,Knox,8,"38,440",100.00%
IN,Kosciusko,2,"30,097",38.90%
IN,Kosciusko,3,"47,261",61.10%
IN,Lagrange,3,"37,128",100.00%
IN,Lake,1,"496,005",100.00%
IN,La Porte,1,"60,074",53.90%
IN,La Porte,2,"51,393",46.10%
IN,Lawrence,9,"46,134",100.00%
IN,Madison,5,"131,636",100.00%
IN,Marion,5,"182,970",20.30%
IN,Marion,7,"720,423",79.70%
IN,Marshall,2,"47,051",100.00%
IN,Martin,8,"10,334",100.00%
IN,Miami,2,"36,903",100.00%
IN,Monroe,9,"137,974",100.00%
IN,Montgomery,4,"38,124",100.00%
IN,Morgan,4,"22,957",33.30%
IN,Morgan,9,"45,937",66.70%
IN,Newton,4,"14,244",100.00%
IN,Noble,3,"47,536",100.00%
IN,Ohio,6,"6,128",100.00%
IN,Orange,9,"19,840",100.00%
IN,Owen,8,"21,575",100.00%
IN,Parke,8,"17,339",100.00%
IN,Perry,8,"19,338",100.00%
IN,Pike,8,"12,845",100.00%
IN,Porter,1,"164,343",100.00%
IN,Posey,8,"25,910",100.00%
IN,Pulaski,2,"13,402",100.00%
IN,Putnam,4,"37,963",100.00%
IN,Randolph,6,"26,171",100.00%
IN,Ripley,6,"28,818",100.00%
IN,Rush,6,"17,392",100.00%
IN,St. Joseph,2,"266,931",100.00%
IN,Scott,6,"12,398",51.30%
IN,Scott,9,"11,783",48.70%
IN,Shelby,6,"44,436",100.00%
IN,Spencer,8,"20,952",100.00%
IN,Starke,2,"23,363",100.00%
IN,Steuben,3,"34,185",100.00%
IN,Sullivan,8,"21,475",100.00%
IN,Switzerland,6,"10,613",100.00%
IN,Tippecanoe,4,"172,780",100.00%
IN,Tipton,5,"15,936",100.00%
IN,Union,6,"7,516",100.00%
IN,Vanderburgh,8,"179,703",100.00%
IN,Vermillion,8,"16,212",100.00%
IN,Vigo,8,"107,848",100.00%
IN,Wabash,2,"32,888",100.00%
IN,Warren,4,"8,508",100.00%
IN,Warrick,8,"59,689",100.00%
IN,Washington,9,"28,262",100.00%
IN,Wayne,6,"68,917",100.00%
IN,Wells,3,"27,636",100.00%
IN,White,4,"24,643",100.00%
IN,Whitley,3,"33,292",100.00%
KS,Allen,2,"13,371",100.00%
KS,Anderson,2,"8,102",100.00%
KS,Atchison,2,"16,924",100.00%
KS,Barber,4,"4,861",100.00%
KS,Barton,1,"27,674",100.00%
KS,Bourbon,2,"15,173",100.00%
KS,Brown,2,"9,984",100.00%
KS,Butler,4,"65,880",100.00%
KS,Chase,1,"2,790",100.00%
KS,Chautauqua,4,"3,669",100.00%
KS,Cherokee,2,"21,603",100.00%
KS,Cheyenne,1,"2,726",100.00%
KS,Clark,1,"2,215",100.00%
KS,Clay,1,"8,535",100.00%
KS,Cloud,1,"9,533",100.00%
KS,Coffey,2,"8,601",100.00%
KS,Comanche,4,"1,891",100.00%
KS,Cowley,4,"36,311",100.00%
KS,Crawford,2,"39,134",100.00%
KS,Decatur,1,"2,961",100.00%
KS,Dickinson,1,"19,754",100.00%
KS,Doniphan,2,"7,945",100.00%
KS,Douglas,2,"110,826",100.00%
KS,Edwards,4,"3,037",100.00%
KS,Elk,4,"2,882",100.00%
KS,Ellis,1,"28,452",100.00%
KS,Ellsworth,1,"6,497",100.00%
KS,Finney,1,"36,776",100.00%
KS,Ford,1,"33,848",100.00%
KS,Franklin,2,"25,992",100.00%
KS,Geary,1,"34,362",100.00%
KS,Gove,1,"2,695",100.00%
KS,Graham,1,"2,597",100.00%
KS,Grant,1,"7,829",100.00%
KS,Gray,1,"6,006",100.00%
KS,Greeley,1,"1,247",100.00%
KS,Greenwood,4,"6,689",100.00%
KS,Hamilton,1,"2,690",100.00%
KS,Harper,4,"6,034",100.00%
KS,Harvey,4,"34,684",100.00%
KS,Haskell,1,"4,256",100.00%
KS,Hodgeman,1,"1,916",100.00%
KS,Jackson,2,"13,462",100.00%
KS,Jefferson,2,"19,126",100.00%
KS,Jewell,1,"3,077",100.00%
KS,Johnson,3,"544,179",100.00%
KS,Kearny,1,"3,977",100.00%
KS,Kingman,4,"7,858",100.00%
KS,Kiowa,4,"2,553",100.00%
KS,Labette,2,"21,607",100.00%
KS,Lane,1,"1,750",100.00%
KS,Leavenworth,2,"76,227",100.00%
KS,Lincoln,1,"3,241",100.00%
KS,Linn,2,"9,656",100.00%
KS,Logan,1,"2,756",100.00%
KS,Lyon,1,"33,690",100.00%
KS,McPherson,1,"29,180",100.00%
KS,Marion,1,"12,660",100.00%
KS,Marshall,1,"4,870",48.10%
KS,Marshall,2,"5,247",51.90%
KS,Meade,1,"4,575",100.00%
KS,Miami,2,"21,184",64.60%
KS,Miami,3,"11,603",35.40%
KS,Mitchell,1,"6,373",100.00%
KS,Montgomery,2,"35,471",100.00%
KS,Morris,1,"5,923",100.00%
KS,Morton,1,"3,233",100.00%
KS,Nemaha,2,"10,178",100.00%
KS,Neosho,2,"16,512",100.00%
KS,Ness,1,"3,107",100.00%
KS,Norton,1,"5,671",100.00%
KS,Osage,2,"16,295",100.00%
KS,Osborne,1,"3,858",100.00%
KS,Ottawa,1,"6,091",100.00%
KS,Pawnee,1,"6,631",95.10%
KS,Pawnee,4,342,4.90%
KS,Phillips,1,"5,642",100.00%
KS,Pottawatomie,1,"21,604",100.00%
KS,Pratt,4,"9,656",100.00%
KS,Rawlins,1,"2,519",100.00%
KS,Reno,1,"64,511",100.00%
KS,Republic,1,"4,980",100.00%
KS,Rice,1,"10,083",100.00%
KS,Riley,1,"71,115",100.00%
KS,Rooks,1,"5,181",100.00%
KS,Rush,1,"3,307",100.00%
KS,Russell,1,"6,970",100.00%
KS,Saline,1,"55,606",100.00%
KS,Scott,1,"4,936",100.00%
KS,Sedgwick,4,"498,365",100.00%
KS,Seward,1,"22,952",100.00%
KS,Shawnee,2,"177,934",100.00%
KS,Sheridan,1,"2,556",100.00%
KS,Sherman,1,"6,010",100.00%
KS,Smith,1,"3,853",100.00%
KS,Stafford,4,"4,437",100.00%
KS,Stanton,1,"2,235",100.00%
KS,Stevens,1,"5,724",100.00%
KS,Sumner,4,"24,132",100.00%
KS,Thomas,1,"7,900",100.00%
KS,Trego,1,"3,001",100.00%
KS,Wabaunsee,1,"7,053",100.00%
KS,Wallace,1,"1,485",100.00%
KS,Washington,1,"5,799",100.00%
KS,Wichita,1,"2,234",100.00%
KS,Wilson,2,"9,409",100.00%
KS,Woodson,2,"3,309",100.00%
KS,Wyandotte,3,"157,505",100.00%
KY,Adair,1,"18,656",100.00%
KY,Allen,1,"19,956",100.00%
KY,Anderson,6,"21,421",100.00%
KY,Ballard,1,"8,249",100.00%
KY,Barren,2,"42,173",100.00%
KY,Bath,6,"11,591",100.00%
KY,Bell,5,"28,691",100.00%
KY,Boone,4,"118,811",100.00%
KY,Bourbon,6,"19,985",100.00%
KY,Boyd,4,"40,044",80.80%
KY,Boyd,5,"9,498",19.20%
KY,Boyle,2,"28,432",100.00%
KY,Bracken,4,"8,488",100.00%
KY,Breathitt,5,"13,878",100.00%
KY,Breckinridge,2,"20,059",100.00%
KY,Bullitt,2,"74,319",100.00%
KY,Butler,2,"12,690",100.00%
KY,Caldwell,1,"12,984",100.00%
KY,Calloway,1,"37,191",100.00%
KY,Campbell,4,"90,336",100.00%
KY,Carlisle,1,"5,104",100.00%
KY,Carroll,4,"10,811",100.00%
KY,Carter,5,"27,720",100.00%
KY,Casey,1,"15,955",100.00%
KY,Christian,1,"73,955",100.00%
KY,Clark,6,"35,613",100.00%
KY,Clay,5,"21,730",100.00%
KY,Clinton,1,"10,272",100.00%
KY,Crittenden,1,"9,315",100.00%
KY,Cumberland,1,"6,856",100.00%
KY,Daviess,2,"96,656",100.00%
KY,Edmonson,2,"12,161",100.00%
KY,Elliott,5,"7,852",100.00%
KY,Estill,6,"14,672",100.00%
KY,Fayette,6,"295,803",100.00%
KY,Fleming,6,"14,348",100.00%
KY,Floyd,5,"39,451",100.00%
KY,Franklin,6,"49,285",100.00%
KY,Fulton,1,"6,813",100.00%
KY,Gallatin,4,"8,589",100.00%
KY,Garrard,2,"16,912",100.00%
KY,Grant,4,"24,662",100.00%
KY,Graves,1,"37,121",100.00%
KY,Grayson,2,"25,746",100.00%
KY,Green,2,"11,258",100.00%
KY,Greenup,4,"36,910",100.00%
KY,Hancock,2,"8,565",100.00%
KY,Hardin,2,"105,543",100.00%
KY,Harlan,5,"29,278",100.00%
KY,Harrison,4,"11,787",62.50%
KY,Harrison,6,"7,059",37.50%
KY,Hart,2,"18,199",100.00%
KY,Henderson,1,"46,250",100.00%
KY,Henry,4,"15,416",100.00%
KY,Hickman,1,"4,902",100.00%
KY,Hopkins,1,"46,920",100.00%
KY,Jackson,5,"13,494",100.00%
KY,Jefferson,3,"723,171",97.60%
KY,Jefferson,4,"17,925",2.40%
KY,Jessamine,2,"12,405",25.50%
KY,Jessamine,6,"36,181",74.50%
KY,Johnson,5,"23,356",100.00%
KY,Kenton,4,"159,720",100.00%
KY,Knott,5,"16,346",100.00%
KY,Knox,5,"31,883",100.00%
KY,Larue,2,"14,193",100.00%
KY,Laurel,5,"58,849",100.00%
KY,Lawrence,5,"15,860",100.00%
KY,Lee,5,"7,887",100.00%
KY,Leslie,5,"11,310",100.00%
KY,Letcher,5,"24,519",100.00%
KY,Lewis,4,"13,870",100.00%
KY,Lincoln,2,5,0.00%
KY,Lincoln,5,"24,737",100.00%
KY,Livingston,1,"9,519",100.00%
KY,Logan,1,"26,835",100.00%
KY,Lyon,1,"8,314",100.00%
KY,McCracken,1,"65,565",100.00%
KY,McCreary,5,"18,306",100.00%
KY,McLean,1,"9,531",100.00%
KY,Madison,6,"82,916",100.00%
KY,Magoffin,5,"13,333",100.00%
KY,Marion,1,"19,820",100.00%
KY,Marshall,1,"31,448",100.00%
KY,Martin,5,"12,929",100.00%
KY,Mason,4,"17,490",100.00%
KY,Meade,2,"28,602",100.00%
KY,Menifee,6,"6,306",100.00%
KY,Mercer,2,"21,331",100.00%
KY,Metcalfe,1,"10,099",100.00%
KY,Monroe,1,"10,963",100.00%
KY,Montgomery,6,"26,499",100.00%
KY,Morgan,5,"13,923",100.00%
KY,Muhlenberg,1,"31,499",100.00%
KY,Nelson,2,"43,437",100.00%
KY,Nicholas,6,"7,135",100.00%
KY,Ohio,1,"23,842",100.00%
KY,Oldham,4,"60,316",100.00%
KY,Owen,4,"10,841",100.00%
KY,Owsley,5,"4,755",100.00%
KY,Pendleton,4,"14,877",100.00%
KY,Perry,5,"28,712",100.00%
KY,Pike,5,"65,024",100.00%
KY,Powell,6,"12,613",100.00%
KY,Pulaski,5,"63,063",100.00%
KY,Robertson,6,"2,282",100.00%
KY,Rockcastle,5,"17,056",100.00%
KY,Rowan,5,"23,333",100.00%
KY,Russell,1,"17,565",100.00%
KY,Scott,6,"47,173",100.00%
KY,Shelby,4,"42,074",100.00%
KY,Simpson,1,"17,327",100.00%
KY,Spencer,2,"5,360",31.40%
KY,Spencer,4,"11,701",68.60%
KY,Taylor,1,"24,512",100.00%
KY,Todd,1,"12,460",100.00%
KY,Trigg,1,"14,339",100.00%
KY,Trimble,4,"8,809",100.00%
KY,Union,1,"15,007",100.00%
KY,Warren,2,"113,792",100.00%
KY,Washington,1,413,3.50%
KY,Washington,2,"11,304",96.50%
KY,Wayne,5,"20,813",100.00%
KY,Webster,1,"13,621",100.00%
KY,Whitley,5,"35,637",100.00%
KY,Wolfe,6,"7,355",100.00%
KY,Woodford,6,"24,939",100.00%
LA,Acadia,3,"61,773",100.00%
LA,Allen,4,"25,764",100.00%
LA,Ascension,2,"20,312",18.90%
LA,Ascension,6,"86,903",81.10%
LA,Assumption,2,"7,637",32.60%
LA,Assumption,6,"15,784",67.40%
LA,Avoyelles,5,"42,073",100.00%
LA,Beauregard,4,"35,654",100.00%
LA,Bienville,4,"14,353",100.00%
LA,Bossier,4,"116,979",100.00%
LA,Caddo,4,"254,969",100.00%
LA,Calcasieu,3,"192,768",100.00%
LA,Caldwell,5,"10,132",100.00%
LA,Cameron,3,"6,839",100.00%
LA,Catahoula,5,"10,407",100.00%
LA,Claiborne,4,"17,195",100.00%
LA,Concordia,5,"20,822",100.00%
LA,De Soto,4,"26,656",100.00%
LA,East Baton Rouge,2,"102,184",23.20%
LA,East Baton Rouge,6,"337,987",76.80%
LA,East Carroll,5,"7,759",100.00%
LA,East Feliciana,5,"11,728",57.90%
LA,East Feliciana,6,"8,539",42.10%
LA,Evangeline,4,"33,984",100.00%
LA,Franklin,5,"20,767",100.00%
LA,Grant,5,"22,309",100.00%
LA,Iberia,3,"73,240",100.00%
LA,Iberville,2,"23,326",69.90%
LA,Iberville,6,"10,061",30.10%
LA,Jackson,5,"16,274",100.00%
LA,Jefferson,1,"232,558",53.80%
LA,Jefferson,2,"199,994",46.20%
LA,Jefferson Davis,3,"31,594",100.00%
LA,Lafayette,3,"221,578",100.00%
LA,Lafourche,1,"46,243",48.00%
LA,Lafourche,6,"50,075",52.00%
LA,La Salle,5,"14,890",100.00%
