State,County,CD #,"CD Pop. in County","% of County in CD"
AR,Madison,4,"15,717",100.00%
AR,Marion,3,"16,653",100.00%
AR,Miller,4,"43,462",100.00%
AR,Mississippi,1,"46,480",100.00%
AR,Monroe,1,"8,149",100.00%
AR,Montgomery,4,"9,487",100.00%
AR,Nevada,4,"8,997",100.00%
AR,Newton,3,"4,071",48.90%
AR,Newton,4,"4,259",51.10%
AR,Ouachita,4,"26,120",100.00%
AR,Perry,2,"10,445",100.00%
AR,Phillips,1,"21,757",100.00%
AR,Pike,4,"11,291",100.00%
AR,Poinsett,1,"24,583",100.00%
AR,Polk,4,"20,662",100.00%
AR,Pope,3,"61,754",100.00%
AR,Prairie,1,"8,715",100.00%
AR,Pulaski,2,"382,748",100.00%
AR,Randolph,1,"17,969",100.00%
AR,St. Francis,1,"28,258",100.00%
AR,Saline,2,"107,118",100.00%
AR,Scott,4,"11,233",100.00%
AR,Searcy,1,"7,645",93.30%
AR,Searcy,3,550,6.70%
AR,Sebastian,3,"112,539",89.50%
AR,Sebastian,4,"13,205",10.50%
AR,Sevier,4,"17,058",100.00%
AR,Sharp,1,"17,264",100.00%
AR,Stone,1,"12,394",100.00%
AR,Union,4,"41,639",100.00%
AR,Van Buren,2,"17,295",100.00%
AR,Washington,3,"203,065",100.00%
AR,White,2,"77,076",100.00%
AR,Woodruff,1,"7,260",100.00%
AR,Yell,4,"22,185",100.00%
AZ,Apache,1,"71,518",100.00%
AZ,Cochise,2,"131,346",100.00%
AZ,Coconino,1,"134,421",100.00%
AZ,Gila,1,"26,230",48.90%
AZ,Gila,4,"27,367",51.10%
AZ,Graham,1,"37,220",100.00%
AZ,Greenlee,1,"8,437",100.00%
AZ,La Paz,4,"20,489",100.00%
AZ,Maricopa,1,"2,994",0.10%
AZ,Maricopa,3,"225,734",5.90%
AZ,Maricopa,4,"37,268",1.00%
AZ,Maricopa,5,"710,224",18.60%
AZ,Maricopa,6,"710,031",18.60%
AZ,Maricopa,7,"710,224",18.60%
AZ,Maricopa,8,"710,418",18.60%
AZ,Maricopa,9,"710,224",18.60%
AZ,Mohave,1,"1,635",0.80%
AZ,Mohave,4,"198,551",99.20%
AZ,Navajo,1,"107,449",100.00%
AZ,Pima,1,"92,091",9.40%
AZ,Pima,2,"578,865",59.10%
AZ,Pima,3,"309,307",31.60%
AZ,Pinal,1,"197,677",52.60%
AZ,Pinal,3,545,0.10%
AZ,Pinal,4,"177,548",47.20%
AZ,Santa Cruz,3,"47,420",100.00%
AZ,Yavapai,1,"30,521",14.50%
AZ,Yavapai,4,"180,512",85.50%
AZ,Yuma,3,"127,231",65.00%
AZ,Yuma,4,"68,520",35.00%
CA,Alameda,13,"702,906",46.50%
CA,Alameda,15,"627,971",41.60%
CA,Alameda,17,"179,394",11.90%
CA,Alpine,4,"1,175",100.00%
CA,Amador,4,"38,091",100.00%
CA,Butte,1,"220,000",100.00%
CA,Calaveras,4,"45,578",100.00%
CA,Colusa,3,"21,419",100.00%
CA,Contra Costa,5,"90,968",8.70%
CA,Contra Costa,9,"180,218",17.20%
CA,Contra Costa,11,"702,906",67.00%
CA,Contra Costa,15,"74,933",7.10%
CA,Del Norte,2,"28,610",100.00%
CA,El Dorado,4,"181,058",100.00%
CA,Fresno,4,"14,912",1.60%
CA,Fresno,16,"324,696",34.90%
CA,Fresno,21,"201,449",21.70%
CA,Fresno,22,"389,393",41.80%
CA,Glenn,1,"2,321",8.30%
CA,Glenn,3,"25,801",91.70%
CA,Humboldt,2,"134,623",100.00%
CA,Imperial,51,"174,528",100.00%
CA,Inyo,8,"18,546",100.00%
CA,Kern,21,"313,718",37.40%
CA,Kern,23,"525,913",62.60%
CA,Kings,21,"152,982",100.00%
CA,Lake,3,"33,614",52.00%
CA,Lake,5,"31,051",48.00%
CA,Lassen,1,"34,895",100.00%
CA,Los Angeles,23,"83,079",0.80%
CA,Los Angeles,25,"585,642",6.00%
CA,Los Angeles,26,"8,270",0.10%
CA,Los Angeles,27,"670,024",6.80%
CA,Los Angeles,28,"702,904",7.20%
CA,Los Angeles,29,"702,905",7.20%
CA,Los Angeles,30,"700,855",7.10%
CA,Los Angeles,32,"702,905",7.20%
CA,Los Angeles,33,"702,904",7.20%
CA,Los Angeles,34,"702,904",7.20%
CA,Los Angeles,35,"149,058",1.50%
CA,Los Angeles,37,"702,904",7.20%
CA,Los Angeles,38,"687,337",7.00%
CA,Los Angeles,39,"195,205",2.00%
CA,Los Angeles,40,"702,904",7.20%
CA,Los Angeles,43,"702,904",7.20%
CA,Los Angeles,44,"702,904",7.20%
CA,Los Angeles,47,"412,997",4.20%
CA,Madera,4,"28,450",18.90%
CA,Madera,16,"122,415",81.10%
CA,Marin,2,"252,409",100.00%
CA,Mariposa,4,"18,251",100.00%
CA,Mendocino,2,"87,841",100.00%
CA,Merced,16,"255,793",100.00%
CA,Modoc,1,"9,686",100.00%
